Suscriptores ganados;Tiempo de visualización (horas);Me gusta;Clics en teaser de tarjeta;Tarjetas mostradas;Clics en elementos de pantalla final;suscriptores;Densidad_Publicitaria;Porcentaje de clics de las impresiones (%);Duracion Minutos;Comentarios añadidos;Porcentaje medio visto (%);rating;dia_semana;consecutivo_tema;No me gusta;RPM (USD)
0;21818;0;0;0;0;47;0.226;3.49;17.66666667;0;29.05;4.964444444;1;16;0;6.5
0;0.0036;0;0;0;0;3;0.182;1.43;16.5;0;1.37;5;1;16;0;0
0;0.4135;1;0;0;0;9;0.233;2.05;8.6;0;42.71;4.941176471;3;7;0;0.4
0;0.4696;0;0;0;0;-2;0.233;3.17;8.566666667;0;34.01;5;3;10;0;0.1
0;0.1802;0;0;0;0;-2;0.195;0;20.53333333;0;26.68;4.655172414;3;16;0;0.5
0;0.055;0;0;0;0;6;0.197;2.74;20.3;0;4.2;4.875;1;16;0;0
0;0.3481;0;0;0;1;5;0.272;2.35;11.03333333;0;37.92;5;3;16;0;2
0;0.1634;1;0;0;0;4;0.191;1.19;10.46666667;0;50.37;4.872340426;1;16;0;1.5
0;0.2787;0;0;0;0;2;0.189;4.21;10.6;0;32.47;5;3;16;0;0.6
0;0.2472;0;0;0;0;4;0;2.94;6.466666667;0;39.66;4.8125;3;16;0;0.2
0;0.3797;0;0;0;0;1;0.203;4.2;9.866666667;0;40.25;4.677419355;1;2;0;0.5
0;0.002;0;0;0;0;2;0.249;0;8.033333333;0;1.5;4.8125;3;16;0;0
0;0.5864;0;0;0;0;6;0.209;2.63;9.566666667;0;50.07;5;3;16;0;2625
0;0.0116;0;0;0;0;4;0.229;1.27;8.733333333;0;8.35;5;3;16;0;0
0;0.1398;0;0;0;0;3;0.243;1.72;8.233333333;0;51.68;4.905882353;1;14;0;4
0;0.7518;0;0;0;0;-2;0.156;0;12.8;0;51.97;4.826086957;1;9;0;11143
0;0.1999;0;0;0;0;5;0;2.27;6.633333333;0;68.72;4.802469136;1;16;0;0.5
1;127409;4;1;3;0;76;0.199;4.44;25.06666667;1;29.12;4.970149254;1;10;0;1643
